lineNo. #1 #3 #5 #7 #10 #50 #100 
186 1 1 1 1 1 1 1 
187 1 1 1 1 1 1 1 
188 0 1 1 1 1 1 1 
189 0 0 0 0 0 0 0 
190 1 1 1 1 1 1 1 
191 1 1 1 1 1 1 1 
192 0 0 0 0 0 0 0 
193 0 0 0 0 0 0 0 
194 1 1 1 1 1 1 1 
195 1 1 1 1 1 1 1 
196 1 1 1 1 1 1 1 
197 1 1 1 1 1 1 1 
198 1 1 1 1 1 1 1 
199 0 0 0 0 0 0 0 
200 0 0 0 0 0 0 0 
201 1 1 1 1 1 1 1 
202 0 0 0 0 0 0 0 
203 0 0 0 0 0 0 0 
204 1 1 1 1 1 1 1 
205 0 0 0 0 0 0 0 
206 1 1 1 1 1 1 1 
207 1 1 1 1 1 1 1 
208 1 1 1 1 1 1 1 
209 1 1 1 1 1 1 1 
210 1 1 1 1 1 1 1 
211 0 0 0 0 0 0 0 
212 0 0 0 0 0 0 0 
213 0 0 0 0 0 0 0 
214 0 0 0 0 0 0 0 
215 0 0 0 0 0 0 0 
216 1 1 1 1 1 1 1 
217 1 1 1 1 1 1 1 
218 1 1 1 1 1 1 1 
219 0 0 0 0 0 0 0 
220 1 1 1 1 1 1 1 
221 1 1 1 1 1 1 1 
222 1 1 1 1 1 1 1 
223 1 1 1 1 1 1 1 
224 1 1 1 1 1 1 1 
225 1 1 1 1 1 1 1 
226 0 0 0 0 0 0 0 
227 0 0 0 0 0 0 0 
228 0 0 0 0 0 0 0 
229 1 1 1 1 1 1 1 
230 1 1 1 1 1 1 1 
231 0 0 0 0 0 0 0 
232 0 0 0 0 0 0 0 
233 0 0 0 0 0 0 0 
234 0 0 0 0 0 0 0 
235 0 0 0 0 0 0 0 
236 0 0 0 0 0 0 0 
237 0 0 0 0 0 0 0 
238 0 0 0 0 0 0 0 
239 0 0 0 0 0 0 0 
240 0 0 0 0 0 0 0 
241 0 0 0 0 0 0 0 
242 0 0 0 0 0 0 0 
243 1 1 1 1 1 1 1 
244 0 0 0 0 0 0 0 
245 0 0 0 0 0 0 0 
246 0 0 0 0 0 0 0 
247 0 0 0 0 0 0 0 
248 0 0 0 0 0 0 0 
249 0 0 0 0 0 0 0 
250 0 0 0 0 0 0 0 
251 1 1 1 1 1 1 1 
252 0 0 0 0 0 0 0 
253 1 1 1 1 1 1 1 
254 0 0 0 0 0 0 0 
255 0 0 0 0 0 0 0 
256 1 1 1 1 1 1 1 
257 1 1 1 1 1 1 1 
258 1 1 1 1 1 1 1 
259 0 0 0 0 0 0 0 
260 0 0 0 0 0 0 0 
261 0 0 0 0 0 0 0 
262 1 1 1 1 1 1 1 
263 1 1 1 1 1 1 1 
264 1 1 1 1 1 1 1 
265 0 0 0 0 0 0 0 
266 0 0 0 0 0 0 0 
267 1 1 1 1 1 1 1 
268 0 0 0 0 0 0 0 
269 0 0 0 0 0 0 0 
270 1 1 1 1 1 1 1 
271 1 1 1 1 1 1 1 
272 0 0 0 0 0 0 0 
273 0 0 0 0 0 0 0 
274 0 0 0 0 0 0 0 
275 0 0 0 0 0 0 0 
276 1 1 1 1 1 1 1 
277 0 0 0 0 0 0 0 
278 1 1 1 1 1 1 1 
279 1 1 1 1 1 1 1 
280 0 0 0 0 0 0 0 
281 0 0 0 0 0 0 0 
282 0 0 0 0 0 0 0 
283 1 1 1 1 1 1 1 
284 0 0 0 0 0 0 0 
285 0 0 0 0 0 0 0 
286 1 1 1 1 1 1 1 
287 1 1 1 1 1 1 1 
288 1 1 1 1 1 1 1 
289 0 0 0 0 0 0 0 
290 0 0 0 0 0 0 0 
291 0 0 0 0 0 0 0 
292 0 0 0 0 0 0 0 
293 1 1 1 1 1 1 1 
294 0 0 0 0 0 0 0 
295 0 0 0 0 0 0 0 
296 0 0 0 0 0 0 0 
297 0 0 0 0 0 0 0 
298 0 0 0 0 0 0 0 
299 0 0 0 0 0 0 0 
300 0 0 0 0 0 0 0 
301 0 0 0 0 0 0 0 
302 1 1 1 1 1 1 1 
303 0 0 0 0 0 0 0 
304 0 0 0 0 0 0 0 
305 0 0 0 0 0 0 0 
306 0 0 0 0 0 0 0 
307 0 0 0 0 0 0 0 
308 0 0 0 0 0 0 0 
309 0 0 0 0 0 0 0 
310 0 0 0 0 0 0 0 
311 0 0 0 0 0 0 0 
312 0 0 0 0 0 0 0 
313 1 1 1 1 1 1 1 
314 0 0 0 0 0 0 0 
315 1 1 1 1 1 1 1 
316 1 1 1 1 1 1 1 
317 0 0 0 0 0 0 0 
318 0 0 0 0 0 0 0 
319 1 1 1 1 1 1 1 
320 0 0 0 0 0 0 0 
321 0 0 0 0 0 0 0 
322 0 0 0 0 0 0 0 
323 0 0 0 0 0 0 0 
324 0 0 0 0 0 0 0 
325 1 1 1 1 1 1 1 
326 0 0 0 0 0 0 0 
327 0 0 0 0 0 0 0 
328 1 1 1 1 1 1 1 
329 1 1 1 1 1 1 1 
330 0 0 0 0 0 0 0 
331 1 1 1 1 1 1 1 
332 0 0 0 0 0 0 0 
333 1 1 1 1 1 1 1 
334 1 1 1 1 1 1 1 
335 1 1 1 1 1 1 1 
336 0 0 0 0 0 0 0 
337 0 0 0 0 0 0 0 
338 1 1 1 1 1 1 1 
339 1 1 1 1 1 1 1 
340 1 1 1 1 1 1 1 
341 0 0 0 0 0 0 0 
342 1 1 1 1 1 1 1 
343 0 0 0 0 0 0 0 
344 0 0 0 0 0 0 0 
345 0 0 0 0 0 0 0 
346 0 0 0 0 0 0 0 
347 1 1 1 1 1 1 1 
348 0 0 0 0 0 0 0 
349 1 1 1 1 1 1 1 
350 0 0 0 0 0 0 0 
351 0 0 0 0 0 0 0 
352 1 1 1 1 1 1 1 
353 1 1 1 1 1 1 1 
354 0 0 0 0 0 0 0 
355 0 0 0 0 0 0 0 
356 0 0 0 0 0 0 0 
357 0 0 0 0 0 0 0 
358 0 0 0 0 0 0 0 
359 0 0 0 0 0 0 0 
360 1 1 1 1 1 1 1 
361 0 0 0 0 0 0 0 
362 1 1 1 1 1 1 1 
363 0 0 0 0 0 0 0 
364 0 0 0 0 0 0 0 
365 0 0 0 0 0 0 0 
366 0 0 0 0 0 0 0 
367 0 0 0 0 0 0 0 
368 0 0 0 0 0 0 0 
369 0 0 0 0 0 0 0 
370 0 0 0 0 0 0 0 
371 0 0 0 0 0 0 0 
372 1 1 1 1 1 1 1 
373 1 1 1 1 1 1 1 
374 1 1 1 1 1 1 1 
375 0 0 0 0 0 0 0 
376 0 0 0 0 0 0 0 
377 0 0 0 0 0 0 0 
378 0 0 0 0 0 0 0 
379 0 0 0 0 0 0 0 
380 0 0 0 0 0 0 0 
381 0 0 0 0 0 0 0 
382 0 0 0 0 0 0 0 
383 1 1 1 1 1 1 1 
384 0 0 0 0 0 0 0 
385 0 0 0 0 0 0 0 
386 1 1 1 1 1 1 1 
387 1 1 1 1 1 1 1 
388 1 1 1 1 1 1 1 
389 0 0 0 0 0 0 0 
390 0 0 0 0 0 0 0 
391 0 0 0 0 0 0 0 
392 0 0 0 0 0 0 0 
393 0 0 0 0 0 0 0 
394 0 0 0 0 0 0 0 
395 1 1 1 1 1 1 1 
396 0 0 0 0 0 0 0 
397 1 1 1 1 1 1 1 
398 1 1 1 1 1 1 1 
399 1 1 1 1 1 1 1 
400 1 1 1 1 1 1 1 
401 1 1 1 1 1 1 1 
402 0 0 0 0 0 0 0 
403 1 1 1 1 1 1 1 
404 0 0 0 0 0 0 0 
405 0 0 0 0 0 0 0 
406 0 0 0 0 0 0 0 
407 0 0 0 0 0 0 0 
408 0 0 0 0 0 0 0 
409 1 1 1 1 1 1 1 
410 1 1 1 1 1 1 1 
411 0 0 0 0 0 0 0 
412 0 0 0 0 0 0 0 
413 0 0 0 0 0 0 0 
414 0 0 0 0 0 0 0 
415 1 1 1 1 1 1 1 
416 1 1 1 1 1 1 1 
417 1 1 1 1 1 1 1 
418 1 1 1 1 1 1 1 
419 1 1 1 1 1 1 1 
420 1 1 1 1 1 1 1 
421 0 0 0 0 0 0 0 
422 0 0 0 0 0 0 0 
423 0 1 1 1 1 1 1 
424 0 0 0 0 0 0 0 
425 0 0 0 0 0 0 0 
426 0 0 0 0 0 0 0 
427 0 0 0 0 0 0 0 
428 0 0 0 0 0 0 0 
429 0 0 0 0 0 0 0 
430 0 0 0 0 0 0 0 
431 0 0 0 0 0 0 0 
432 1 1 1 1 1 1 1 
433 0 0 0 0 0 0 0 
434 0 0 0 0 0 0 0 
435 1 1 1 1 1 1 1 
436 1 1 1 1 1 1 1 
437 1 1 1 1 1 1 1 
438 1 1 1 1 1 1 1 
439 1 1 1 1 1 1 1 
440 0 0 0 0 0 0 0 
441 0 0 0 0 0 0 0 
442 0 0 0 0 0 0 0 
443 0 0 0 0 0 0 0 
444 1 1 1 1 1 1 1 
445 0 0 0 0 0 0 0 
446 1 1 1 1 1 1 1 
447 1 1 1 1 1 1 1 
448 1 1 1 1 1 1 1 
449 1 1 1 1 1 1 1 
450 1 1 1 1 1 1 1 
451 1 1 1 1 1 1 1 
452 0 0 0 0 0 0 0 
453 0 0 0 0 0 0 0 
454 0 0 0 0 0 0 0 
455 0 0 0 0 0 0 0 
456 1 1 1 1 1 1 1 
457 1 1 1 1 1 1 1 
458 0 0 0 0 0 0 0 
459 0 0 0 0 0 0 0 
460 0 0 0 0 0 0 0 
461 0 0 0 0 0 0 0 
462 0 0 0 0 0 0 0 
463 1 1 1 1 1 1 1 
464 1 1 1 1 1 1 1 
465 1 1 1 1 1 1 1 
466 0 0 0 0 0 0 0 
467 0 0 0 0 0 0 0 
468 0 0 0 0 0 0 0 
469 1 1 1 1 1 1 1 
470 1 1 1 1 1 1 1 
471 1 1 1 1 1 1 1 
472 0 0 0 0 0 0 0 
473 1 1 1 1 1 1 1 
474 0 0 0 0 0 0 0 
475 1 1 1 1 1 1 1 
476 0 0 0 0 0 0 0 
477 0 0 0 0 0 0 0 
478 0 0 0 0 0 0 0 
479 0 0 0 0 0 0 0 
480 0 0 0 0 0 0 0 
481 0 0 0 0 0 0 0 
482 0 0 0 0 0 0 0 
483 0 0 0 0 0 0 0 
484 0 0 0 0 0 0 0 
485 0 0 0 0 0 0 0 
486 0 0 0 0 0 0 0 
487 0 0 0 0 0 0 0 
488 0 0 0 0 0 0 0 
489 0 0 0 0 0 0 0 
490 0 0 0 0 0 0 0 
491 0 0 0 0 0 0 0 
492 1 1 1 1 1 1 1 
493 1 1 1 1 1 1 1 
494 0 0 0 0 0 0 0 
495 1 1 1 1 1 1 1 
496 1 1 1 1 1 1 1 
497 0 0 0 0 0 0 0 
498 1 1 1 1 1 1 1 
499 0 0 0 0 0 0 0 
500 1 1 1 1 1 1 1 
501 0 0 0 0 0 0 0 
502 1 1 1 1 1 1 1 
503 0 0 0 0 0 0 0 
504 0 0 0 0 0 0 0 
505 0 0 0 0 0 0 0 
506 0 0 0 0 0 0 0 
507 0 0 0 0 0 0 0 
508 0 0 0 0 0 0 0 
509 0 0 0 0 0 0 0 
510 0 0 0 0 0 0 0 
511 0 0 0 0 0 0 0 
512 0 0 0 0 0 0 0 
513 0 0 0 0 0 0 0 
514 0 0 0 0 0 0 0 
515 0 0 0 0 0 0 0 
516 0 0 0 0 0 0 0 
517 0 0 0 0 0 0 0 
518 1 1 1 1 1 1 1 
519 1 1 1 1 1 1 1 
520 0 0 0 0 0 0 0 
521 0 0 0 0 0 0 0 
522 1 1 1 1 1 1 1 
523 1 1 1 1 1 1 1 
524 0 0 0 0 0 0 0 
525 1 1 1 1 1 1 1 
526 1 1 1 1 1 1 1 
527 0 0 0 0 0 0 0 
528 0 0 0 0 0 0 0 
529 0 0 0 0 0 0 0 
530 1 1 1 1 1 1 1 
531 0 0 0 0 0 0 0 
532 0 0 0 0 0 0 0 
533 0 0 0 0 0 0 0 
534 0 0 0 0 0 0 0 
535 0 0 0 0 0 0 0 
536 0 0 0 0 0 0 0 
537 1 1 1 1 1 1 1 
538 0 0 0 0 0 0 0 
539 1 1 1 1 1 1 1 
540 1 1 1 1 1 1 1 
541 0 0 0 0 0 0 0 
542 1 1 1 1 1 1 1 
543 0 0 0 0 0 0 0 
544 0 0 0 0 0 0 0 
545 1 1 1 1 1 1 1 
546 0 0 0 0 0 0 0 
547 1 1 1 1 1 1 1 
548 1 1 1 1 1 1 1 
549 0 0 0 0 0 0 0 
550 1 1 1 1 1 1 1 
551 1 1 1 1 1 1 1 
552 1 1 1 1 1 1 1 
553 1 1 1 1 1 1 1 
554 0 0 0 0 0 0 0 
555 0 0 0 0 0 0 0 
556 0 0 0 0 0 0 0 
557 0 1 1 1 1 1 1 
558 1 1 1 1 1 1 1 
559 1 1 1 1 1 1 1 
560 0 0 0 0 0 0 0 
561 0 0 0 0 0 0 0 
562 1 1 1 1 1 1 1 
563 1 1 1 1 1 1 1 
564 1 1 1 1 1 1 1 
565 0 0 0 0 0 0 0 
566 0 0 0 0 0 0 0 
567 1 1 1 1 1 1 1 
568 0 0 0 0 0 0 0 
569 1 1 1 1 1 1 1 
570 0 0 0 0 0 0 0 
571 1 1 1 1 1 1 1 
572 1 1 1 1 1 1 1 
573 1 1 1 1 1 1 1 
574 1 1 1 1 1 1 1 
575 0 0 0 0 0 0 0 
576 1 1 1 1 1 1 1 
577 0 0 0 0 0 0 0 
578 1 1 1 1 1 1 1 
579 0 0 0 0 0 0 0 
580 1 1 1 1 1 1 1 
581 1 1 1 1 1 1 1 
582 0 0 0 0 0 0 0 
583 1 1 1 1 1 1 1 
584 1 1 1 1 1 1 1 
585 0 0 0 0 0 0 0 
586 1 1 1 1 1 1 1 
587 1 1 1 1 1 1 1 
588 1 1 1 1 1 1 1 
589 0 0 0 0 0 0 0 
590 0 0 0 0 0 0 0 
591 0 0 0 0 0 0 0 
592 0 0 0 0 0 0 0 
593 0 0 0 0 0 0 0 
594 0 0 0 0 0 0 0 
595 0 0 0 0 0 0 0 
596 0 0 0 0 0 0 0 
597 0 0 0 0 0 0 0 
598 1 1 1 1 1 1 1 
599 1 1 1 1 1 1 1 
600 0 0 0 0 0 0 0 
601 1 1 1 1 1 1 1 
602 0 0 0 0 0 0 0 
603 0 0 0 0 0 0 0 
604 0 0 0 0 0 0 0 
605 0 0 0 0 0 0 0 
606 0 0 0 0 0 0 0 
607 0 0 0 0 0 0 0 
608 0 0 0 0 0 0 0 
609 1 1 1 1 1 1 1 
610 0 0 0 0 0 0 0 
611 0 0 0 0 0 0 0 
612 0 0 0 0 0 0 0 
613 1 1 1 1 1 1 1 
614 1 1 1 1 1 1 1 
615 1 1 1 1 1 1 1 
616 1 1 1 1 1 1 1 
617 0 0 0 0 0 0 0 
618 0 0 0 0 0 0 0 
619 1 1 1 1 1 1 1 
620 1 1 1 1 1 1 1 
621 1 1 1 1 1 1 1 
622 1 1 1 1 1 1 1 
623 0 0 0 0 0 0 0 
624 1 1 1 1 1 1 1 
625 0 0 0 0 0 0 0 
626 0 0 0 0 0 0 0 
627 1 1 1 1 1 1 1 
628 1 1 1 1 1 1 1 
629 0 0 0 0 0 0 0 
630 1 1 1 1 1 1 1 
631 0 0 0 0 0 0 0 
632 0 0 0 0 0 0 0 
633 1 1 1 1 1 1 1 
634 0 0 0 0 0 0 0 
635 0 0 0 0 0 0 0 
636 1 1 1 1 1 1 1 
637 1 1 1 1 1 1 1 
638 1 1 1 1 1 1 1 
639 0 0 0 0 0 0 0 
640 0 0 0 0 0 0 0 
641 0 1 1 1 1 1 1 
642 0 0 0 0 0 0 0 
643 0 0 0 0 0 0 0 
644 0 0 0 0 0 0 0 
645 0 0 0 0 0 0 0 
646 1 1 1 1 1 1 1 
647 0 0 0 0 0 0 0 
648 1 1 1 1 1 1 1 
649 0 0 0 0 0 0 0 
650 0 0 0 0 0 0 0 
651 1 1 1 1 1 1 1 
652 0 0 0 0 0 0 0 
653 0 0 0 0 0 0 0 
654 0 0 0 0 0 0 0 
655 1 1 1 1 1 1 1 
656 1 1 1 1 1 1 1 
657 1 1 1 1 1 1 1 
