lineNo. #1 #3 #5 #7 #10 #50 #100 
817 0 0 0 0 0 0 0 
818 0 0 0 0 0 0 0 
819 1 1 1 1 1 1 1 
820 1 1 1 1 1 1 1 
821 0 0 0 0 0 0 0 
822 0 0 0 0 0 0 0 
823 0 0 0 0 0 0 0 
824 1 1 1 1 1 1 1 
825 1 1 1 1 1 1 1 
826 0 0 0 0 0 0 0 
827 1 1 1 1 1 1 1 
828 1 1 1 1 1 1 1 
829 1 1 1 1 1 1 1 
830 1 1 1 1 1 1 1 
831 1 1 1 1 1 1 1 
832 0 0 0 0 0 0 0 
833 0 0 0 0 0 0 0 
834 0 0 0 0 0 0 0 
835 0 0 0 0 0 0 0 
836 0 0 0 0 0 0 0 
837 0 0 0 0 0 0 0 
838 0 0 0 0 0 0 0 
839 0 0 0 0 0 0 0 
840 0 0 0 0 0 0 0 
841 0 0 0 0 0 0 0 
842 0 0 0 0 0 0 0 
843 0 0 0 0 0 0 0 
844 0 0 0 0 0 0 0 
845 0 0 0 0 0 0 0 
846 0 0 0 0 0 0 0 
847 1 1 1 1 1 1 1 
848 1 1 1 1 1 1 1 
849 0 0 0 0 0 0 0 
850 0 0 0 0 0 0 0 
851 0 0 0 0 0 0 0 
852 0 0 0 0 0 0 0 
853 1 1 1 1 1 1 1 
854 0 1 1 1 1 1 1 
855 1 1 1 1 1 1 1 
856 1 1 1 1 1 1 1 
857 0 0 0 0 0 0 0 
858 0 0 0 0 0 0 0 
859 0 0 0 0 0 0 0 
860 0 0 0 0 0 0 0 
861 0 0 0 0 0 0 0 
862 1 1 1 1 1 1 1 
863 0 0 0 0 0 0 0 
864 0 0 0 0 0 0 0 
865 0 0 0 0 0 0 0 
866 0 0 0 0 0 0 0 
867 0 0 0 0 0 0 0 
868 0 0 0 0 0 0 0 
869 1 1 1 1 1 1 1 
870 1 1 1 1 1 1 1 
871 0 1 1 1 1 1 1 
872 0 0 0 0 0 0 0 
873 0 0 0 0 0 0 0 
874 0 0 0 0 0 0 0 
875 0 0 0 0 0 0 0 
876 0 0 0 0 0 0 0 
877 0 0 0 0 0 0 0 
878 0 0 0 0 0 0 0 
879 0 0 0 0 0 0 0 
880 0 0 0 0 0 0 0 
881 1 1 1 1 1 1 1 
882 0 0 0 0 0 0 0 
883 1 1 1 1 1 1 1 
884 1 1 1 1 1 1 1 
885 1 1 1 1 1 1 1 
886 1 1 1 1 1 1 1 
887 1 1 1 1 1 1 1 
888 0 0 0 0 0 0 0 
889 1 1 1 1 1 1 1 
890 0 0 0 0 0 0 0 
891 0 0 0 0 0 0 0 
892 0 0 0 0 0 0 0 
893 0 0 0 0 0 0 0 
894 0 0 0 0 0 0 0 
895 0 0 0 0 0 0 0 
896 1 1 1 1 1 1 1 
897 0 0 0 0 0 0 0 
898 1 1 1 1 1 1 1 
899 0 0 0 0 0 0 0 
900 0 0 0 0 0 0 0 
901 0 0 0 0 0 0 0 
902 0 0 0 0 0 0 0 
903 0 0 0 0 0 0 0 
904 1 1 1 1 1 1 1 
905 0 0 0 0 0 0 0 
906 0 0 0 0 0 0 0 
907 0 0 0 0 0 0 0 
908 0 0 0 0 0 0 0 
909 0 0 0 0 0 0 0 
910 1 1 1 1 1 1 1 
911 1 1 1 1 1 1 1 
912 1 1 1 1 1 1 1 
913 0 0 0 0 0 0 0 
914 0 0 0 0 0 0 0 
915 0 0 0 0 0 0 0 
916 1 1 1 1 1 1 1 
917 0 0 0 0 0 0 0 
918 0 0 0 0 0 0 0 
919 1 1 1 1 1 1 1 
920 1 1 1 1 1 1 1 
921 0 0 0 0 0 0 0 
922 0 0 0 0 0 0 0 
923 1 1 1 1 1 1 1 
924 0 0 0 0 0 0 0 
925 1 1 1 1 1 1 1 
926 0 0 0 0 0 0 0 
927 0 0 0 0 0 0 0 
928 1 1 1 1 1 1 1 
929 1 1 1 1 1 1 1 
930 1 1 1 1 1 1 1 
931 1 1 1 1 1 1 1 
932 1 1 1 1 1 1 1 
933 0 0 0 0 0 0 0 
934 0 0 0 0 0 0 0 
935 0 0 0 0 0 0 0 
936 0 0 0 0 0 0 0 
937 0 0 0 0 0 0 0 
938 0 0 0 0 0 0 0 
939 0 0 0 0 0 0 0 
940 0 0 0 0 0 0 0 
941 1 1 1 1 1 1 1 
942 1 1 1 1 1 1 1 
943 1 1 1 1 1 1 1 
944 0 0 0 0 0 0 0 
945 1 1 1 1 1 1 1 
946 1 1 1 1 1 1 1 
947 1 1 1 1 1 1 1 
948 1 1 1 1 1 1 1 
949 0 0 0 0 0 0 0 
950 0 0 0 0 0 0 0 
951 1 1 1 1 1 1 1 
952 1 1 1 1 1 1 1 
953 0 0 0 0 0 0 0 
954 0 0 0 0 0 0 0 
955 1 1 1 1 1 1 1 
956 1 1 1 1 1 1 1 
957 1 1 1 1 1 1 1 
958 1 1 1 1 1 1 1 
959 0 0 0 0 0 0 0 
960 1 1 1 1 1 1 1 
961 1 1 1 1 1 1 1 
962 0 0 0 0 0 0 0 
963 0 0 0 0 0 0 0 
964 0 0 0 0 0 0 0 
965 1 1 1 1 1 1 1 
966 1 1 1 1 1 1 1 
967 1 1 1 1 1 1 1 
968 0 0 0 0 0 0 0 
969 0 0 0 0 0 0 0 
970 1 1 1 1 1 1 1 
971 0 0 0 0 0 0 0 
972 1 1 1 1 1 1 1 
973 0 0 0 0 0 0 0 
974 1 1 1 1 1 1 1 
975 1 1 1 1 1 1 1 
976 1 1 1 1 1 1 1 
977 1 1 1 1 1 1 1 
978 0 0 0 0 0 0 0 
979 0 0 0 0 0 0 0 
980 0 0 0 0 0 0 0 
981 0 0 0 0 0 0 0 
982 0 0 0 0 0 0 0 
983 0 0 0 0 0 0 0 
984 0 0 0 0 0 0 0 
985 0 0 0 0 0 0 0 
986 0 0 0 0 0 0 0 
987 0 0 0 0 0 0 0 
988 0 0 0 0 0 0 0 
989 0 0 0 0 0 0 0 
990 0 0 0 0 0 0 0 
991 1 1 1 1 1 1 1 
992 0 0 0 0 0 0 0 
993 0 0 0 0 0 0 0 
994 1 1 1 1 1 1 1 
995 0 0 0 0 0 0 0 
996 1 1 1 1 1 1 1 
997 1 1 1 1 1 1 1 
998 1 1 1 1 1 1 1 
999 1 1 1 1 1 1 1 
1000 1 1 1 1 1 1 1 
1001 0 0 0 0 0 0 0 
1002 1 1 1 1 1 1 1 
1003 1 1 1 1 1 1 1 
1004 1 1 1 1 1 1 1 
1005 1 1 1 1 1 1 1 
1006 0 0 0 0 0 0 0 
1007 1 1 1 1 1 1 1 
1008 1 1 1 1 1 1 1 
1009 1 1 1 1 1 1 1 
1010 1 1 1 1 1 1 1 
1011 0 0 0 0 0 0 0 
1012 1 1 1 1 1 1 1 
1013 1 1 1 1 1 1 1 
1014 0 0 0 0 0 0 0 
1015 1 1 1 1 1 1 1 
1016 0 0 0 0 0 0 0 
1017 1 1 1 1 1 1 1 
1018 0 0 0 0 0 0 0 
1019 1 1 1 1 1 1 1 
1020 1 1 1 1 1 1 1 
1021 1 1 1 1 1 1 1 
1022 1 1 1 1 1 1 1 
1023 0 0 0 0 0 0 0 
1024 0 0 0 0 0 0 0 
1025 1 1 1 1 1 1 1 
1026 0 0 0 0 0 0 0 
1027 1 1 1 1 1 1 1 
1028 1 1 1 1 1 1 1 
1029 1 1 1 1 1 1 1 
1030 1 1 1 1 1 1 1 
1031 1 1 1 1 1 1 1 
1032 0 0 0 0 0 0 0 
1033 0 0 0 0 0 0 0 
1034 0 0 0 0 0 0 0 
1035 1 1 1 1 1 1 1 
1036 0 0 0 0 0 0 0 
1037 0 0 0 0 0 0 0 
1038 0 0 0 0 0 0 0 
1039 1 1 1 1 1 1 1 
1040 0 0 0 0 0 0 0 
1041 1 1 1 1 1 1 1 
1042 0 0 0 0 0 0 0 
1043 0 0 0 0 0 0 0 
1044 1 1 1 1 1 1 1 
1045 0 0 0 0 0 0 0 
1046 0 0 0 0 0 0 0 
1047 0 0 0 0 0 0 0 
1048 0 0 0 0 0 0 0 
1049 1 1 1 1 1 1 1 
1050 1 1 1 1 1 1 1 
1051 0 0 0 0 0 0 0 
1052 1 1 1 1 1 1 1 
1053 0 0 0 0 0 0 0 
1054 1 1 1 1 1 1 1 
1055 1 1 1 1 1 1 1 
1056 1 1 1 1 1 1 1 
1057 1 1 1 1 1 1 1 
1058 0 0 0 0 0 0 0 
1059 1 1 1 1 1 1 1 
1060 0 0 0 0 0 0 0 
1061 0 0 0 0 0 0 0 
1062 1 1 1 1 1 1 1 
1063 1 1 1 1 1 1 1 
1064 0 0 0 0 0 0 0 
1065 1 1 1 1 1 1 1 
1066 1 1 1 1 1 1 1 
1067 0 0 0 0 0 0 0 
1068 0 0 0 0 0 0 0 
1069 0 0 0 0 0 0 0 
1070 1 1 1 1 1 1 1 
1071 0 0 0 0 0 0 0 
1072 1 1 1 1 1 1 1 
1073 1 1 1 1 1 1 1 
1074 0 0 0 0 0 0 0 
1075 0 0 0 0 0 0 0 
1076 0 0 0 0 0 0 0 
1077 0 0 0 0 0 0 0 
1078 1 1 1 1 1 1 1 
1079 0 0 0 0 0 0 0 
1080 0 0 0 0 0 0 0 
1081 1 1 1 1 1 1 1 
1082 1 1 1 1 1 1 1 
1083 1 1 1 1 1 1 1 
1084 1 1 1 1 1 1 1 
1085 1 1 1 1 1 1 1 
1086 0 0 0 0 0 0 0 
1087 1 1 1 1 1 1 1 
1088 0 0 0 0 0 0 0 
1089 1 1 1 1 1 1 1 
1090 0 0 0 0 0 0 0 
1091 1 1 1 1 1 1 1 
1092 1 1 1 1 1 1 1 
1093 1 1 1 1 1 1 1 
1094 1 1 1 1 1 1 1 
1095 1 1 1 1 1 1 1 
1096 0 0 0 0 0 0 0 
1097 1 1 1 1 1 1 1 
1098 1 1 1 1 1 1 1 
1099 0 0 0 0 0 0 0 
1100 0 0 0 0 0 0 0 
1101 1 1 1 1 1 1 1 
1102 0 0 0 0 0 0 0 
1103 0 0 0 0 0 0 0 
1104 1 1 1 1 1 1 1 
1105 1 1 1 1 1 1 1 
1106 1 1 1 1 1 1 1 
1107 0 0 0 0 0 0 0 
1108 0 0 0 0 0 0 0 
1109 0 0 0 0 0 0 0 
1110 0 0 0 0 0 0 0 
1111 0 0 0 0 0 0 0 
1112 0 0 0 0 0 0 0 
1113 0 0 0 0 0 0 0 
1114 0 0 0 0 0 0 0 
1115 1 1 1 1 1 1 1 
1116 1 1 1 1 1 1 1 
1117 0 0 0 0 0 0 0 
1118 0 0 0 0 0 0 0 
1119 1 1 1 1 1 1 1 
1120 0 0 0 0 0 0 0 
1121 0 0 0 0 0 0 0 
1122 0 0 0 0 0 0 0 
1123 1 1 1 1 1 1 1 
1124 1 1 1 1 1 1 1 
1125 1 1 1 1 1 1 1 
1126 1 1 1 1 1 1 1 
1127 0 0 0 0 0 0 0 
1128 1 1 1 1 1 1 1 
1129 1 1 1 1 1 1 1 
1130 1 1 1 1 1 1 1 
1131 1 1 1 1 1 1 1 
1132 1 1 1 1 1 1 1 
1133 1 1 1 1 1 1 1 
1134 1 1 1 1 1 1 1 
1135 1 1 1 1 1 1 1 
1136 1 1 1 1 1 1 1 
1137 0 0 0 0 0 0 0 
1138 0 0 0 0 0 0 0 
1139 1 1 1 1 1 1 1 
1140 1 1 1 1 1 1 1 
1141 1 1 1 1 1 1 1 
1142 1 1 1 1 1 1 1 
1143 0 0 0 0 0 0 0 
1144 0 0 0 0 0 0 0 
1145 0 0 0 0 0 0 0 
1146 0 0 0 0 0 0 0 
1147 0 0 0 0 0 0 0 
1148 0 0 0 0 0 0 0 
1149 0 0 0 0 0 0 0 
1150 1 1 1 1 1 1 1 
1151 1 1 1 1 1 1 1 
1152 1 1 1 1 1 1 1 
1153 1 1 1 1 1 1 1 
1154 1 1 1 1 1 1 1 
1155 0 0 0 0 0 0 0 
1156 1 1 1 1 1 1 1 
1157 0 0 0 0 0 0 0 
1158 0 0 0 0 0 0 0 
1159 0 0 0 0 0 0 0 
1160 0 0 0 0 0 0 0 
1161 1 1 1 1 1 1 1 
1162 0 0 0 0 0 0 0 
1163 1 1 1 1 1 1 1 
1164 1 1 1 1 1 1 1 
1165 0 0 0 0 0 0 0 
1166 1 1 1 1 1 1 1 
1167 0 0 0 0 0 0 0 
1168 0 0 0 0 0 0 0 
1169 0 0 0 0 0 0 0 
1170 1 1 1 1 1 1 1 
1171 0 0 0 0 0 0 0 
1172 1 1 1 1 1 1 1 
1173 0 0 0 0 0 0 0 
1174 1 1 1 1 1 1 1 
1175 1 1 1 1 1 1 1 
1176 1 1 1 1 1 1 1 
1177 0 0 0 0 0 0 0 
1178 0 0 0 0 0 0 0 
1179 1 1 1 1 1 1 1 
1180 0 0 0 0 0 0 0 
1181 1 1 1 1 1 1 1 
1182 0 0 0 0 0 0 0 
1183 1 1 1 1 1 1 1 
1184 0 0 0 0 0 0 0 
1185 1 1 1 1 1 1 1 
1186 0 0 0 0 0 0 0 
1187 0 0 0 0 0 0 0 
1188 0 0 0 0 0 0 0 
1189 0 0 0 0 0 0 0 
1190 1 1 1 1 1 1 1 
1191 1 1 1 1 1 1 1 
1192 0 0 0 0 0 0 0 
1193 1 1 1 1 1 1 1 
1194 0 0 0 0 0 0 0 
1195 0 0 0 0 0 0 0 
1196 0 0 0 0 0 0 0 
1197 0 0 0 0 0 0 0 
1198 1 1 1 1 1 1 1 
1199 1 1 1 1 1 1 1 
1200 1 1 1 1 1 1 1 
1201 0 0 0 0 0 0 0 
1202 0 0 0 0 0 0 0 
1203 0 0 0 0 0 0 0 
1204 0 1 1 1 1 1 1 
1205 0 0 0 0 0 0 0 
1206 1 1 1 1 1 1 1 
1207 1 1 1 1 1 1 1 
1208 1 1 1 1 1 1 1 
1209 0 0 0 0 0 0 0 
1210 0 0 0 0 0 0 0 
1211 0 0 0 0 0 0 0 
1212 1 1 1 1 1 1 1 
1213 1 1 1 1 1 1 1 
1214 1 1 1 1 1 1 1 
1215 0 0 0 0 0 0 0 
1216 1 1 1 1 1 1 1 
1217 0 0 0 0 0 0 0 
1218 0 0 0 0 0 0 0 
1219 1 1 1 1 1 1 1 
1220 0 0 0 0 0 0 0 
1221 1 1 1 1 1 1 1 
1222 0 0 0 0 0 0 0 
1223 0 0 0 0 0 0 0 
1224 0 0 0 0 0 0 0 
1225 0 0 0 0 0 0 0 
1226 0 0 0 0 0 0 0 
1227 0 0 0 0 0 0 0 
1228 0 0 1 1 1 1 1 
1229 1 1 1 1 1 1 1 
1230 1 1 1 1 1 1 1 
1231 1 1 1 1 1 1 1 
1232 0 0 0 0 0 0 0 
1233 1 1 1 1 1 1 1 
1234 1 1 1 1 1 1 1 
1235 0 0 0 0 0 0 0 
1236 0 0 0 0 0 0 0 
1237 0 0 0 0 0 0 0 
1238 0 0 0 0 0 0 0 
1239 1 1 1 1 1 1 1 
1240 0 0 0 0 0 0 0 
1241 0 0 0 0 0 0 0 
1242 0 0 0 0 0 0 0 
1243 0 0 0 0 0 0 0 
1244 0 0 0 0 0 0 0 
1245 0 0 0 0 0 0 0 
1246 0 0 0 0 0 0 0 
1247 0 0 0 0 0 0 0 
1248 0 0 0 0 0 0 0 
1249 0 0 0 0 0 0 0 
1250 0 0 0 0 0 0 0 
1251 0 0 0 0 0 0 0 
1252 1 1 1 1 1 1 1 
1253 0 0 0 0 0 0 0 
1254 0 0 0 0 0 0 0 
1255 0 0 0 0 0 0 0 
1256 0 0 0 0 0 0 0 
1257 0 0 0 0 0 0 0 
1258 1 1 1 1 1 1 1 
1259 1 1 1 1 1 1 1 
1260 1 1 1 1 1 1 1 
1261 1 1 1 1 1 1 1 
1262 1 1 1 1 1 1 1 
1263 1 1 1 1 1 1 1 
1264 0 0 0 0 0 0 0 
1265 0 0 0 0 0 0 0 
1266 1 1 1 1 1 1 1 
1267 0 0 0 0 0 0 0 
1268 1 1 1 1 1 1 1 
1269 1 1 1 1 1 1 1 
1270 0 0 0 0 0 0 0 
1271 0 0 0 0 0 0 0 
1272 1 1 1 1 1 1 1 
1273 0 0 0 0 0 0 0 
1274 0 0 0 0 0 0 0 
1275 0 0 0 0 0 0 0 
1276 0 0 0 0 0 0 0 
1277 0 0 0 0 0 0 0 
1278 0 0 0 0 0 0 0 
1279 0 0 0 0 0 0 0 
1280 0 0 0 0 0 0 0 
1281 0 0 0 0 0 0 0 
1282 0 0 0 0 0 0 0 
1283 0 1 1 1 1 1 1 
1284 1 1 1 1 1 1 1 
1285 0 0 0 0 0 0 0 
1286 1 1 1 1 1 1 1 
1287 1 1 1 1 1 1 1 
1288 1 1 1 1 1 1 1 
1289 0 0 0 0 0 0 0 
1290 0 0 0 0 0 0 0 
1291 0 0 0 0 0 0 0 
1292 0 0 0 0 0 0 0 
1293 0 0 0 0 0 0 0 
1294 0 0 0 0 0 0 0 
1295 0 0 0 0 0 0 0 
1296 1 1 1 1 1 1 1 
1297 0 0 0 0 0 0 0 
1298 0 0 0 0 0 0 0 
1299 0 0 0 0 0 0 0 
1300 0 0 0 0 0 0 0 
1301 0 0 0 0 0 0 0 
1302 0 0 0 0 0 0 0 
1303 1 1 1 1 1 1 1 
1304 1 1 1 1 1 1 1 
1305 1 1 1 1 1 1 1 
1306 1 1 1 1 1 1 1 
1307 0 0 0 0 0 0 0 
1308 0 0 0 0 0 0 0 
1309 0 0 0 0 0 0 0 
1310 0 0 0 0 0 0 0 
1311 0 0 0 0 0 0 0 
1312 0 0 0 0 0 0 0 
1313 0 0 0 0 0 0 0 
1314 0 0 0 0 0 0 0 
1315 0 0 0 0 0 0 0 
1316 0 0 0 0 0 0 0 
1317 0 0 0 0 0 0 0 
1318 0 0 0 0 0 0 0 
1319 0 0 0 0 0 0 0 
1320 1 1 1 1 1 1 1 
1321 0 0 0 0 0 0 0 
1322 1 1 1 1 1 1 1 
1323 0 0 0 0 0 0 0 
1324 0 0 0 0 0 0 0 
1325 0 0 0 0 0 0 0 
1326 0 0 0 0 0 0 0 
1327 0 0 0 0 0 0 0 
1328 0 0 0 0 0 0 0 
1329 0 0 0 0 0 0 0 
1330 0 0 0 0 0 0 0 
1331 0 0 0 0 0 0 0 
1332 0 0 0 0 0 0 0 
1333 0 0 0 0 0 0 0 
1334 0 0 0 0 0 0 0 
1335 1 1 1 1 1 1 1 
1336 0 0 0 0 0 0 0 
1337 1 1 1 1 1 1 1 
1338 0 0 0 0 0 0 0 
1339 1 1 1 1 1 1 1 
1340 1 1 1 1 1 1 1 
1341 1 1 1 1 1 1 1 
1342 1 1 1 1 1 1 1 
1343 0 0 0 0 0 0 0 
1344 1 1 1 1 1 1 1 
1345 0 0 0 0 0 0 0 
1346 0 0 0 0 0 0 0 
1347 0 0 0 0 0 0 0 
1348 0 0 0 0 0 0 0 
1349 1 1 1 1 1 1 1 
1350 1 1 1 1 1 1 1 
1351 0 0 0 0 0 0 0 
1352 0 0 0 0 0 0 0 
1353 0 0 0 0 0 0 0 
1354 0 0 0 0 0 0 0 
1355 0 0 0 0 0 0 0 
1356 0 0 0 0 0 0 0 
1357 0 0 0 0 0 0 0 
1358 0 0 0 0 0 0 0 
1359 0 0 0 0 0 0 0 
1360 0 0 0 0 0 0 0 
1361 0 0 0 0 0 0 0 
1362 0 0 0 0 0 0 0 
1363 0 0 0 0 0 0 0 
1364 0 0 0 0 0 0 0 
1365 0 0 0 0 0 0 0 
1366 0 0 0 0 0 0 0 
1367 0 0 0 0 0 0 0 
1368 0 0 0 0 0 0 0 
1369 0 0 0 0 0 0 0 
1370 0 0 0 0 0 0 0 
1371 0 0 0 0 0 0 0 
1372 1 1 1 1 1 1 1 
1373 1 1 1 1 1 1 1 
1374 1 1 1 1 1 1 1 
1375 0 0 0 0 0 0 0 
1376 0 0 0 0 0 0 0 
1377 1 1 1 1 1 1 1 
1378 1 1 1 1 1 1 1 
1379 0 0 0 0 0 0 0 
1380 0 0 0 0 0 0 0 
1381 0 0 0 0 0 0 0 
1382 0 0 0 0 0 0 0 
1383 0 0 0 0 0 0 0 
1384 0 0 0 0 0 0 0 
1385 0 0 0 0 0 0 0 
1386 0 0 0 0 0 0 0 
1387 0 0 0 0 0 0 0 
1388 0 0 0 0 0 0 0 
1389 1 1 1 1 1 1 1 
1390 0 0 0 0 0 0 0 
1391 0 0 0 0 0 0 0 
1392 1 1 1 1 1 1 1 
1393 0 0 0 0 0 0 0 
1394 1 1 1 1 1 1 1 
1395 1 1 1 1 1 1 1 
1396 0 0 0 0 0 0 0 
1397 0 0 0 0 0 0 0 
1398 0 0 0 0 0 0 0 
1399 1 1 1 1 1 1 1 
1400 1 1 1 1 1 1 1 
1401 0 0 0 0 0 0 0 
1402 0 0 0 0 0 0 0 
1403 0 0 0 0 0 0 0 
1404 0 0 0 0 0 0 0 
1405 0 0 0 0 0 0 0 
1406 1 1 1 1 1 1 1 
1407 0 0 0 0 0 0 0 
1408 1 1 1 1 1 1 1 
1409 1 1 1 1 1 1 1 
1410 0 0 0 0 0 0 0 
1411 1 1 1 1 1 1 1 
1412 0 0 0 0 0 0 0 
1413 1 1 1 1 1 1 1 
1414 0 0 0 0 0 0 0 
1415 0 0 0 0 0 0 0 
1416 1 1 1 1 1 1 1 
1417 1 1 1 1 1 1 1 
1418 1 1 1 1 1 1 1 
1419 1 1 1 1 1 1 1 
1420 0 0 0 0 0 0 0 
1421 0 0 0 0 0 0 0 
1422 0 0 0 0 0 0 0 
1423 0 0 0 0 0 0 0 
1424 0 0 0 0 0 0 0 
1425 0 0 0 0 0 0 0 
1426 0 0 0 0 0 0 0 
1427 0 0 0 0 0 0 0 
1428 1 1 1 1 1 1 1 
1429 1 1 1 1 1 1 1 
1430 1 1 1 1 1 1 1 
1431 0 0 0 0 0 0 0 
1432 1 1 1 1 1 1 1 
1433 0 0 0 0 0 0 0 
1434 0 0 0 0 0 0 0 
1435 1 1 1 1 1 1 1 
1436 0 0 0 0 0 0 0 
1437 0 0 0 0 0 0 0 
1438 0 0 0 0 0 0 0 
1439 0 0 0 0 0 0 0 
1440 0 0 0 0 0 0 0 
1441 0 0 0 0 0 0 0 
1442 0 0 0 0 0 0 0 
1443 0 0 0 0 0 0 0 
1444 0 0 0 0 0 0 0 
1445 0 0 0 0 0 0 0 
1446 0 0 0 0 0 0 0 
1447 0 0 0 0 0 0 0 
1448 0 0 0 0 0 0 0 
1449 0 0 0 0 0 0 0 
1450 0 0 0 0 0 0 0 
1451 0 0 0 0 0 0 0 
1452 0 0 0 0 0 0 0 
1453 0 0 0 0 0 0 0 
1454 0 0 0 0 0 0 0 
1455 0 0 0 0 0 0 0 
1456 0 0 0 0 0 0 0 
1457 0 0 0 0 0 0 0 
1458 0 0 0 0 0 0 0 
1459 0 0 0 0 0 0 0 
1460 0 0 0 0 0 0 0 
1461 0 0 0 0 0 0 0 
1462 0 0 0 0 0 0 0 
1463 0 0 0 0 0 0 0 
1464 0 0 0 0 0 0 0 
1465 1 1 1 1 1 1 1 
1466 0 0 0 0 0 0 0 
1467 0 0 0 0 0 0 0 
1468 0 0 0 0 0 0 0 
1469 0 0 0 0 0 0 0 
1470 0 0 0 0 0 0 0 
1471 0 0 0 0 0 0 0 
1472 1 1 1 1 1 1 1 
1473 0 0 0 0 0 0 0 
1474 0 0 0 0 0 0 0 
1475 0 0 0 0 0 0 0 
1476 0 0 0 0 0 0 0 
1477 0 0 0 0 0 0 0 
1478 0 0 0 0 0 0 0 
1479 1 1 1 1 1 1 1 
1480 0 0 0 0 0 0 0 
1481 0 1 1 1 1 1 1 
1482 0 0 0 0 0 0 0 
1483 0 0 0 0 0 0 0 
1484 0 0 0 0 0 0 0 
1485 0 0 0 0 0 0 0 
1486 0 0 0 0 0 0 0 
1487 0 0 0 0 0 0 0 
1488 0 0 0 0 0 0 0 
1489 0 0 0 0 0 0 0 
1490 0 0 0 0 0 0 0 
1491 0 0 0 0 0 0 0 
1492 0 0 0 0 0 0 0 
1493 0 0 0 0 0 0 0 
1494 0 0 0 0 0 0 0 
1495 0 0 0 0 0 0 0 
1496 0 0 0 0 0 0 0 
1497 0 0 0 0 0 0 0 
1498 0 0 0 0 0 0 0 
1499 1 1 1 1 1 1 1 
1500 0 0 0 0 0 0 0 
1501 0 0 0 0 0 0 0 
1502 0 0 0 0 0 0 0 
1503 0 0 0 0 0 0 0 
1504 0 0 0 0 0 0 0 
1505 0 0 0 0 0 0 0 
1506 0 0 0 0 0 0 0 
1507 0 0 0 0 0 0 0 
1508 1 1 1 1 1 1 1 
1509 1 1 1 1 1 1 1 
1510 1 1 1 1 1 1 1 
1511 0 0 0 0 0 0 0 
1512 0 0 0 0 0 0 0 
1513 0 0 0 0 0 0 0 
1514 0 0 0 0 0 0 0 
1515 0 0 0 0 0 0 0 
1516 1 1 1 1 1 1 1 
1517 0 0 0 0 0 0 0 
1518 1 1 1 1 1 1 1 
1519 0 0 0 0 0 0 0 
1520 1 1 1 1 1 1 1 
1521 1 1 1 1 1 1 1 
1522 1 1 1 1 1 1 1 
1523 1 1 1 1 1 1 1 
1524 0 1 1 1 1 1 1 
1525 0 0 0 0 0 0 0 
1526 0 0 0 0 0 0 0 
1527 0 0 0 0 0 0 0 
1528 0 0 0 0 0 0 0 
1529 1 1 1 1 1 1 1 
1530 1 1 1 1 1 1 1 
1531 0 0 0 0 0 0 0 
1532 0 0 0 0 0 0 0 
1533 0 0 0 0 0 0 0 
1534 1 1 1 1 1 1 1 
1535 0 0 0 0 0 0 0 
1536 1 1 1 1 1 1 1 
1537 0 0 0 0 0 0 0 
1538 1 1 1 1 1 1 1 
1539 1 1 1 1 1 1 1 
1540 0 0 0 0 0 0 0 
1541 1 1 1 1 1 1 1 
1542 1 1 1 1 1 1 1 
1543 1 1 1 1 1 1 1 
1544 0 0 0 0 0 0 0 
1545 0 0 0 0 0 0 0 
1546 0 0 0 0 0 0 0 
1547 0 0 0 0 0 0 0 
1548 0 0 0 0 0 0 0 
1549 0 0 0 0 0 0 0 
1550 0 0 0 0 0 0 0 
1551 0 0 0 0 0 0 0 
1552 0 0 0 0 0 0 0 
1553 1 1 1 1 1 1 1 
1554 1 1 1 1 1 1 1 
1555 1 1 1 1 1 1 1 
1556 1 1 1 1 1 1 1 
1557 1 1 1 1 1 1 1 
1558 1 1 1 1 1 1 1 
1559 1 1 1 1 1 1 1 
1560 1 1 1 1 1 1 1 
1561 0 0 0 0 0 0 0 
1562 0 0 0 0 0 0 0 
1563 1 1 1 1 1 1 1 
1564 1 1 1 1 1 1 1 
1565 0 0 0 0 0 0 0 
1566 0 0 0 0 0 0 0 
1567 0 0 0 0 0 0 0 
1568 0 0 0 0 0 0 0 
1569 0 0 0 0 0 0 0 
1570 1 1 1 1 1 1 1 
1571 1 1 1 1 1 1 1 
1572 1 1 1 1 1 1 1 
1573 1 1 1 1 1 1 1 
1574 0 0 0 0 0 0 0 
1575 0 0 0 0 0 0 0 
1576 0 0 0 0 0 0 0 
1577 0 0 0 0 0 0 0 
1578 0 0 0 0 0 0 0 
1579 0 0 0 0 0 0 0 
1580 0 0 0 0 0 0 0 
1581 0 0 0 0 0 0 0 
1582 0 0 0 0 0 0 0 
1583 0 0 0 0 0 0 0 
1584 0 0 0 0 0 0 0 
1585 1 1 1 1 1 1 1 
1586 1 1 1 1 1 1 1 
1587 1 1 1 1 1 1 1 
1588 1 1 1 1 1 1 1 
1589 1 1 1 1 1 1 1 
1590 0 0 0 0 0 0 0 
1591 0 0 0 0 0 0 0 
1592 0 0 0 0 0 0 0 
1593 0 0 0 0 0 0 0 
1594 0 0 0 0 0 0 0 
1595 0 0 0 0 0 0 0 
1596 0 0 0 0 0 0 0 
1597 0 0 0 0 0 0 0 
1598 0 0 0 0 0 0 0 
1599 0 0 0 0 0 0 0 
1600 1 1 1 1 1 1 1 
1601 1 1 1 1 1 1 1 
1602 1 1 1 1 1 1 1 
